"id","account_id","object_type_id","title","description","is_suspended","period","delta","dates_range","deleted_at","created_at","updated_at"
"25","1","4","ТО Дорожные информационные табло один раз в полгода",NULL,"1","182","14","[[]]","2022-10-17 10:21:47","2022-01-23 16:06:01","2022-10-17 10:21:47"
"26","1","4","ТО Дорожные информационные табло летнее",NULL,"1","30","4","[[""2021-04-01"", ""2021-10-31""]]","2022-10-17 10:21:50","2022-01-23 16:06:01","2022-10-17 10:21:50"
"27","1","4","СС Дорожные информационные табло летнее",NULL,"1","30","4","[[""2021-04-01"", ""2021-10-31""]]","2022-10-17 10:21:52","2022-01-23 16:06:01","2022-10-17 10:21:52"
"28","1","4","СС Дорожные информационные табло зимнее",NULL,"1","14","0","[[""2021-11-01"", ""2022-03-31""]]","2022-10-17 10:21:55","2022-01-23 16:06:01","2022-10-17 10:21:55"
"29","1","4","ТО Дорожные информационные табло зимнее",NULL,"1","14","0","[[""2021-11-01"", ""2022-03-31""]]","2022-10-17 10:21:59","2022-01-23 16:06:01","2022-10-17 10:21:59"
"30","1","4","ТО Дорожные информационные табло один раз в квартал",NULL,"1","14","0","[[""2021-04-12""]]","2022-10-17 10:22:11","2022-01-23 16:06:01","2022-10-17 10:22:11"
"31","1","1","ТО ежемесячное Метео",NULL,"0","30","0","[[]]",NULL,"2022-01-23 16:06:01","2022-10-17 10:24:09"
"32","1","2","ТО ежемесячное Видео",NULL,"0","30","0","[[]]",NULL,"2022-01-23 16:07:06","2022-10-17 10:30:47"
"33","1","3","ТО ежемесячное ПУИД",NULL,"0","30","0","[[]]",NULL,"2022-01-23 16:08:21","2022-10-17 10:31:21"
"34","1","4","ТО ежемесячное ТПИ/ЗПИ",NULL,"0","30","0","[[]]",NULL,"2022-01-23 16:09:03","2022-10-17 10:32:07"
"35","1","5","ТО ежемесячное АОС",NULL,"0","30","0","[[]]",NULL,"2022-01-23 16:09:05","2022-10-17 10:32:44"
"36","1","6","ТО ежемесячное Светофор",NULL,"0","30","0","[[]]",NULL,"2022-01-23 16:11:17","2022-10-17 10:33:41"
"37","1","1","ТО квартальное Метео",NULL,"1","90","7","[[]]",NULL,"2022-01-23 16:11:29","2022-01-23 16:11:29"
"38","1","2","ТО квартальное Видео",NULL,"1","90","7","[[]]",NULL,"2022-01-23 16:11:29","2022-01-23 16:11:29"
"39","1","3","ТО квартальное ПУИД",NULL,"1","90","7","[[]]",NULL,"2022-01-23 16:11:29","2022-01-23 16:11:29"
"40","1","4","ТО квартальное ТПИ/ЗПИ",NULL,"1","90","7","[[]]",NULL,"2022-01-23 16:11:29","2022-01-23 16:11:29"
"41","1","5","ТО квартальное АОС",NULL,"1","90","7","[[]]",NULL,"2022-01-23 16:11:29","2022-01-23 16:11:29"
"42","1","6","ТО квартальное Светофор",NULL,"1","90","7","[[]]",NULL,"2022-01-23 16:11:29","2022-01-23 16:11:29"
